statecode,year,name,value
Alaska,2005,Ethan,63
Alaska,2006,James,67
Alaska,2007,Aiden,58
Alaska,2008,James,67
Alaska,2009,Michael,58
Alaska,2010,William,57
Alaska,2011,Mason,58
Alaska,2012,James,52
Alaska,2013,Liam,63
Alaska,2014,Liam,66
Alaska,2015,Liam,53
Alabama,2005,William,550
Alabama,2006,William,609
Alabama,2007,William,551
Alabama,2008,William,536
Alabama,2009,William,508
Alabama,2010,William,496
Alabama,2011,William,445
Alabama,2012,William,437
Alabama,2013,William,437
Alabama,2014,William,429
Alabama,2015,William,411
Arkansas,2005,Ethan,257
Arkansas,2006,William,263
Arkansas,2007,William,270
Arkansas,2008,Jacob,205
Arkansas,2009,William,220
Arkansas,2010,William,195
Arkansas,2011,William,217
Arkansas,2012,William,217
Arkansas,2013,William,196
Arkansas,2014,Mason,176
Arkansas,2015,William,193
Arizona,2005,Angel,618
Arizona,2006,Angel,643
Arizona,2007,Angel,656
Arizona,2008,Anthony,575
Arizona,2009,Jacob,495
Arizona,2010,Jacob,541
Arizona,2011,Jacob,419
Arizona,2012,Jacob,393
Arizona,2013,Liam,386
Arizona,2014,Noah,471
Arizona,2015,Noah,444
California,2005,Daniel,3914
California,2006,Daniel,3826
California,2007,Daniel,3868
California,2008,Daniel,3752
California,2009,Daniel,3392
California,2010,Jacob,3348
California,2011,Jacob,3167
California,2012,Jacob,2975
California,2013,Jacob,2881
California,2014,Noah,2767
California,2015,Noah,2751
Colorado,2005,Jacob,387
Colorado,2006,Jacob,391
Colorado,2007,Jacob,350
Colorado,2008,Alexander,353
Colorado,2009,Alexander,341
Colorado,2010,Jacob,338
Colorado,2011,Liam,290
Colorado,2012,Liam,354
Colorado,2013,Liam,348
Colorado,2014,Liam,306
Colorado,2015,Liam,305
Connecticut,2005,Ryan,354
Connecticut,2006,Michael,297
Connecticut,2007,Michael,317
Connecticut,2008,Michael,319
Connecticut,2009,Michael,258
Connecticut,2010,Michael,252
Connecticut,2011,Alexander,234
Connecticut,2012,Mason,230
Connecticut,2013,William,208
Connecticut,2014,Mason,230
Connecticut,2015,Noah,215
District of Columbia,2005,William,111
District of Columbia,2006,William,109
District of Columbia,2007,William,99
District of Columbia,2008,William,95
District of Columbia,2009,William,87
District of Columbia,2010,William,71
District of Columbia,2011,William,73
District of Columbia,2012,William,94
District of Columbia,2013,William,87
District of Columbia,2014,Alexander,75
District of Columbia,2015,William,78
Delaware,2005,Michael,89
Delaware,2006,Ryan,74
Delaware,2007,Michael,73
Delaware,2008,Michael,89
Delaware,2009,Alexander,69
Delaware,2010,Michael,68
Delaware,2011,Michael,64
Delaware,2012,Michael,60
Delaware,2013,Michael,62
Delaware,2014,Liam,68
Delaware,2015,Mason,60
Florida,2005,Joshua,1502
Florida,2006,Joshua,1476
Florida,2007,Anthony,1432
Florida,2008,Jayden,1338
Florida,2009,Jayden,1327
Florida,2010,Jayden,1292
Florida,2011,Jayden,1235
Florida,2012,Jayden,1152
Florida,2013,Jayden,1122
Florida,2014,Noah,1218
Florida,2015,Liam,1274
Georgia,2005,William,1032
Georgia,2006,William,1014
Georgia,2007,William,995
Georgia,2008,William,913
Georgia,2009,William,892
