name,value,year,lastValue,rank
Jacob,25822,2005,25822,1
Jacob,24832,2006,25822,1
Jacob,24259,2007,24832,1
Michael,23800,2005,23800,2
Joshua,23242,2005,23242,3
Michael,22628,2006,23800,2
Jacob,22574,2008,24259,1
Joshua,22308,2006,23242,3
Jacob,22095,2010,21154,1
Michael,21972,2007,22628,2
Matthew,21461,2005,21461,4
Ethan,21307,2005,21307,5
Jacob,21154,2009,22574,1
Ethan,21016,2007,20501,3
Andrew,20722,2005,20722,6
Joshua,20642,2007,22308,4
Michael,20601,2008,21972,2
Ethan,20501,2006,21307,4
Jacob,20349,2011,22095,1
Matthew,20321,2006,21461,5
Daniel,20239,2007,20051,5
Daniel,20203,2005,20203,7
Ethan,20198,2008,21016,3
Daniel,20051,2006,20203,6
Christopher,19999,2007,19668,6
Ethan,19836,2009,20198,2
Andrew,19707,2006,20722,7
Christopher,19668,2006,19159,8
Anthony,19614,2007,19395,7
Noah,19511,2015,19229,1
Mason,19493,2011,14836,2
Anthony,19395,2006,19367,9
Anthony,19367,2005,19367,8
Noah,19229,2014,18206,1
Joseph,19199,2005,19199,9
Joshua,19188,2008,20642,4
Christopher,19159,2005,19159,10
Jacob,19045,2012,20349,1
William,19045,2005,19045,11
Daniel,18993,2008,20239,5
Mason,18953,2012,19493,2
William,18946,2006,19045,10
Michael,18917,2009,20601,3
William,18876,2007,18946,8
Matthew,18729,2007,20321,9
Alexander,18685,2008,18128,6
Andrew,18441,2007,19707,10
Joseph,18431,2006,19199,11
Liam,18421,2014,18111,2
William,18383,2008,18876,7
Anthony,18382,2008,19614,8
Liam,18281,2015,18421,2
Alexander,18217,2009,18685,4
Alexander,18215,2006,18110,12
Noah,18206,2013,17323,1
Alexander,18128,2007,18215,11
Liam,18111,2013,16785,2
Alexander,18110,2005,18110,12
Jacob,18110,2013,19045,3
David,18102,2005,18102,13
Ethan,17993,2010,19836,2
Ryan,17980,2005,17980,14
Christopher,17936,2008,19999,9
William,17905,2009,18383,5
Mason,17668,2013,18953,4
Ethan,17644,2012,16674,3
Joshua,17630,2009,19188,6
David,17614,2006,18102,13
Matthew,17576,2008,18729,10
Daniel,17527,2009,18993,7
David,17521,2007,17614,12
William,17325,2011,17036,3
Joseph,17324,2007,18431,13
Michael,17324,2010,18917,3
Noah,17323,2012,16845,4
Jayden,17270,2009,17133,8
Noah,17231,2009,15778,9
Jayden,17158,2010,17270,4
Mason,17157,2014,17668,3
Jayden,17133,2008,15228,11
Nicholas,17065,2005,17065,15
William,17036,2010,17905,5
Tyler,16983,2005,16983,16
Jayden,16968,2011,17158,4
William,16856,2012,17325,5
Noah,16845,2011,16438,5
Jacob,16812,2014,18110,4
Liam,16785,2012,13431,6
William,16776,2014,16595,5
Michael,16760,2011,17324,6
Andrew,16747,2008,18441,12
Alexander,16746,2010,18217,6
Ethan,16674,2011,17993,7
William,16595,2013,16856,5
Noah,16585,2007,16324,14
Joseph,16550,2008,17324,13
Mason,16535,2015,17157,3
Noah,16438,2010,17231,7
